referenceName,referenceTime,productSize,productColor,content
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-26 00:35:15,512GB,黑色钛金属,正品
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-17 13:42:37,256GB,蓝色钛金属,现货给力。中午拍，下午就送到了。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-19 15:31:19,128GB,白色钛金属,刚过七天价保就降价了😓
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 10:18:34,256GB,白色钛金属,此用户未填写评价内容
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 10:03:45,256GB,原色钛金属,便宜了五百块钱 挺好的 是正品
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 08:47:44,256GB,黑色钛金属,很好很好，速度很快。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 12:05:27,256GB,白色钛金属,👍京东就是给力，物流快，东西用着放心。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 11:47:40,256GB,白色钛金属,发货速度快，是正品，很喜欢
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 14:40:06,512GB,蓝色钛金属,太小了这也。。。还得买max才行，pro没我手掌大
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 18:24:51,256GB,黑色钛金属,很不错，货足，送货也很快
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-07 20:22:36,128GB,原色钛金属,"外形外观：不错，很好看
屏幕音效：音质很好，屏幕清晰
拍照效果：一直在京东购物&hellip;很不错的一次购物
运行速度：速度速度不错
待机时间：挺好，比较满意"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-18 10:14:59,256GB,白色钛金属,"值得信赖
外形外观：好，完美
屏幕音效：非常满意
拍照效果：拍照显示好
运行速度：非常快，我觉得值得表扬，推荐给你看看，也试试这个。"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-15 20:00:12,256GB,原色钛金属,一直在盼15pro，终于第一时间抢到，又在第一时间拿到，京东非常给力，原色真的漂亮，之前我一直都用的黑色，换了个颜色，超出预期，非常惊喜，今年会卖的非常好的颜色，边框也非常窄，非常轻，很喜欢！
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 00:23:53,256GB,原色钛金属,"外形外观：跟上代变化不大
屏幕音效：没什么可说的，懂得都懂
拍照效果：很好
运行速度：很流畅
待机时间：还行吧
其他特色：苹果生态还是挺方便的
从11换到这个，提升巨大"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-16 10:00:04,256GB,原色钛金属,首发第二天抢到的，等了10多天发货了，发货后，一天就拿到手了，京东买放心，送货师傅平时便宜的货就放门口，这次特意打电话给我怕丢失，不放心，特别好！
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-16 10:00:25,512GB,蓝色钛金属,京东快递很给力，发货当天就送到了，快递保护的很好包装完整，手机检查了一下没有问题，状态查询了也是没有激活的。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-20 10:00:06,128GB,蓝色钛金属,这次购买非常愉快，商品也很划算，服务也觉得更好了，以后还有可能继续购买的。非常满意的商品，物流也很好，下次还会继续购买的，老板也很漂亮，服务态度也非常好。非常感谢。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-08 10:16:47,512GB,原色钛金属,目前还没有深度使用，不过原色的颜色还是不错
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-20 21:03:40,256GB,黑色钛金属,苹果老粉啦！今次终于换掉使用了好几年的XR，用上了15Pro，未买之前一直担心网上各种的问题，自己使用几天后，发现一点都不用担心，使用非常流畅，也没有发热等的问题，杠杠的！
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-27 18:53:44,256GB,原色钛金属,其实去年刚买的14 pro，奈何15pro的钛合金边框，还有原色质感太棒咯，实在没忍住就下手了，京东的货源和快递都非常稳定和优秀，手机没有任何质量问题，自己也在第一时间买了延保。与14pro相比，最大的不同之处就是手感了吧，更圆润，更轻巧，拿在手里特别的润和舒适。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-20 10:20:46,128GB,黑色钛金属,买来不到3天打游戏好卡申请退货不给退一个月不到就降价600真的#你们千万不要买
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-24 19:24:23,256GB,白色钛金属,信号差还没三千块小米10s信号好，7天保价也是笑话
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 22:48:35,256GB,原色钛金属,从 12 开始就是从京东上买苹果，快递速度不用多说了。之前用的 14pm，太重了，这次果断换了 15Pro，手感好太多了。原色看起来很酷。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-23 12:51:25,256GB,原色钛金属,"中午捡漏下午就到了
外形外观：完美
屏幕音效：非常棒
拍照效果：见图
运行速度：快
待机时间：看使用时间吧，跑电还算可以"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-27 23:03:36,256GB,原色钛金属,买完第二天就降价了，还好京东能保价。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 15:58:33,128GB,黑色钛金属,一直很相信京东，是正品
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-22 09:45:59,256GB,原色钛金属,京东值得信赖！七天保价也特别有信誉！被圈粉了！
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 15:12:16,256GB,原色钛金属,好👌
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 14:06:20,256GB,黑色钛金属,先用着，后续再看看
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-24 19:06:59,256GB,白色钛金属,此用户未填写评价内容
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-10 17:47:17,128GB,蓝色钛金属,@ 质量非常好，与卖家描述的完全一致，非常满意，真的超级超级超级宇宙无敌喜欢， 完全超出期望值，发货速度非常快，包装非常仔细、严实，运送速度很快，2天2夜就到了，  体验下算是符合预期的  服务小姐姐全程热情又很有耐心  也会问我们需求与感受  是一次蛮好的体验呢满意，以后还会回购[比心]
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-06 09:20:53,256GB,白色钛金属,终于抢到了，白钛的，一直就喜欢白色，没想到在京东抢到了。15pm顶配无敌，唯一就缺点就是太大了，对于喜欢单手或喜欢放兜里的不太友好，大家可以斟酌选购。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-05 20:21:54,256GB,蓝色钛金属,"全新未拆开，快递当面打开签收，封条都是好的。
试了下拍照还不错，电量感觉比之前用的pm稍小，更新了最新的17.0.3系统机身不那么热了，当然开大应用还是有点热的。"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-24 14:44:40,512GB,蓝色钛金属,非常完美，握持感很舒服，使用体验非常棒，蓝色钛金属太酷了闭眼入！没有遇到网上说的那些问题，发热确实是有一点，但是没有网上说的那么夸张，iPhone没有一代是不容易发热的，在完全可以接受的范围内。安全下车！
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-20 03:43:54,256GB,蓝色钛金属,抢了很久没抢到，熬了一天晚上居然有，毫不犹豫的下单了，苹果的品质不用讲，关键是老婆喜欢就行，我家里是我用华为老婆用苹果女孩子嘛，都喜欢用苹果手机，整体来她喜欢就行
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-22 09:12:14,512GB,原色钛金属,从11换的15  用了四五年了，一直用IOS系统  还是选择相信吧  一直在用，觉得不错  手机也是越来越贵  没有办法  希望可以再用5年  也会给其他人推荐，支持
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-09 18:25:03,256GB,白色钛金属,帮朋友下单的手机，现在家里亲朋好友的好多东西都在京东自营下单，经济又实惠，售后有保障，价格实惠，商城的东西闭眼入就行
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-02 09:14:38,256GB,原色钛金属,很好用，手机很好用，不过有点粘指纹，这个边框特别容易粘，推荐还是带手机壳使用，摄像头4800w像素，看不出来说真的。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-04 19:52:25,256GB,白色钛金属,买回来，没用，送别人了，自己又从官网买了一个，续航比我mini的好，玩了一天也不是很烫，白色的非常好看呢，手感很好，也没网上说的那么悬乎，拍照也可以
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-23 10:00:10,256GB,黑色钛金属,"外形外观：黑色太大气了
屏幕音效：一流水平
拍照效果：拍照很惊艳
运行速度：新机都跟块
这是我用手机拍的"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 07:17:19,256GB,原色钛金属,原色看起来不错，粘指纹有点，可以擦掉，使用起来丝滑细腻。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-30 08:43:48,256GB,原色钛金属,一个月没有就掉价600。🤮
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-29 10:11:00,256GB,原色钛金属,一直沒有评价，现在一看居然降了600，瞬间心情就不好了，电池电量一般，，外观依旧很经典&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;&hellip;.
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 01:39:24,256GB,白色钛金属,运气不错 抢到了白色款的 拿到第一时间还录了开箱 生怕出什么差错 目前没有任何问题 发烫也仅在传数据下APP的时候 充电时正常 送的编织线还可以 家里正好也有多的PD头 如果后续有问题会追评 可以放心入
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 12:28:02,1TB,白色钛金属,不错不错  是正品  又有券
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 11:21:40,256GB,蓝色钛金属,非常不错的东西，买了好多次了
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-27 21:03:45,256GB,原色钛金属,非常棒的体验 第二天就到了 开箱的时候还录了视频没想到是多此一举 手机很完美 自己肉眼认证全新没问题 发烫是iOS17的通病 不过我只有在下东西的时候有 充电的时候没有 线是编织的还算合理
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 00:27:58,128GB,原色钛金属,物流很快，服务很好，正品保证，满意👍
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 16:52:18,256GB,原色钛金属,"超级喜欢。  很好用。
外形外观：是我喜欢的类型
拍照效果：我拍照技术不好。 反正像素不错
待机时间：一百个点能用一天
其他特色：灵动岛还没鼓捣明白就不评论了"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 08:42:01,256GB,原色钛金属,**了 没开机，贴钢化膜的时候发现一个白点擦不掉
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-20 09:41:30,256GB,原色钛金属,客服非常好，一开始没发货还抱怨客服了，客服小姐姐一直态度很好的帮我催，最后当天下午就拿到了，非常感谢
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-24 19:24:57,256GB,蓝色钛金属,从11换15pro没有让我失望，我选的是蓝钛256g，蓝色其实很好看，小屏党闭眼选pro手感极佳，单身掌控，拍照摄影也是yyds，不过缺点也是有的，发热和信号是苹果的通病，整体体验还不错
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-19 10:01:21,1TB,蓝色钛金属,整体不错，机身轻盈，还是一如既往的流畅，但是信号不是很好，摄像不如华为。散热有很大进步，中度使用不热。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-01 17:43:10,128GB,原色钛金属,每天刷库存 终于还是买到了喜欢的颜色 京东物流也是很给力 提前到了 真香 没有咖喱味 也没有网上键盘侠说的那些不好 用习惯哪个 就买哪个 跟其他无关
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-15 20:30:27,256GB,原色钛金属,"外形外观：没有14p好看 但是轻了很多 手感超好
运行速度：丝滑
待机时间：续航一般 不拍照看视频玩游戏这些还好 一玩疯狂掉电"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-22 09:33:26,128GB,蓝色钛金属,除了续航拉垮，钛合金边框手一碰就包浆以外一切都很好，性能没得说，原神里画质能拉多高拉多高，画面真心强的雅痞，久玩配了个黑鲨的磁吸散热到也不掉帧卡顿，至于信号，目前还没遇到过特别差的时候
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-30 21:54:14,256GB,原色钛金属,从xs换过来的，之前一直想换个华为 但被zz般的遥遥领先劝退了，正好15pro有货就入了 3**+ios的体验还是很不错~
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-18 06:45:41,128GB,原色钛金属,"外形外观：很好看。比较喜欢的一款
屏幕音效：很好
拍照效果：很清晰。
运行速度：很快
待机时间：不玩游戏，接打电话，看资讯还是很不错的
其他特色：性能很好。性价比非常高"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-15 20:34:02,256GB,原色钛金属,"外形外观：外形外观：果子 外观设计一向很出众，一套经典的外观可以沿用好几年。。
屏幕音效：显示效果不错，主要是有高刷了。用起很舒服。
拍照效果：听说这次升级最大都是就是拍照，主观上感觉不到啥，但还是一如既往的流畅。不卡顿。
运行速度：这就毋庸置疑了。很快，快到溢出。"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-27 00:13:04,256GB,黑色钛金属,亲测下来，还是比原来的14pro要热一点
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-26 09:50:31,256GB,原色钛金属,刚买还不到一个星期，竟然降价600多元多，感觉被割了腰子呀！已经不是之前的苹果了，需要自己设置太多，太耗费精力了。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 22:55:40,256GB,黑色钛金属,第一次买到外壳这么脏的手机，这么贵的手机，这么脏的外壳，让人很难不去联想到里边的手机怎么怎么样？客服解释说：运输过程中造成的？想问一下运输过程中外边的牛皮纸箱子会破损，跟里边的手机盒子有什么关系？而且手机盒子外边还有一个减震塑料袋，怎么会是运输过程中造成的？怎么会这么脏？这么贵的手机，发货的时候不能检查一下吗？客服很敷衍，服务态度很不好。到最后也没能给解决问题。你们看下，你们相信是新的吗？
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 10:17:12,256GB,原色钛金属,外观漂亮，系统流畅。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 19:37:44,256GB,原色钛金属,打开快递，跟在垃圾桶捡出来一样，盒子全是灰，大家自己看～品控现在越来越差了
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-25 17:33:15,128GB,蓝色钛金属,还行，目前没出现问题，希望后续也不会出现问题，每次买都是在京东自营店，还是很支持的
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 09:02:06,256GB,白色钛金属,速度快，隔天就到手了，正品
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 07:04:06,256GB,原色钛金属,还可以吧 白色比灰色贵了100块 整体还是流畅的
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 16:55:20,128GB,蓝色钛金属,购买的商品物廉价美下次再来
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 22:14:35,128GB,蓝色钛金属,很优惠，产品无误，此次购物体验很满意！配送也是非常超级快速！而且商品完美送达真棒！
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-24 19:44:52,256GB,白色钛金属,都很好，除了信号差了点，重新补卡，其他都不错
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-08 15:10:10,256GB,蓝色钛金属,手机包装很好无破损，物流也快，手机外观漂亮，款式好看，质量很好，正品，做工精致，屏幕细腻够大很清晰，色彩饱和度很不错，照相不错，很漂亮，音质也很棒，系统功能强大，运行速度很快，看电影听音乐都很给力， 非常享受，操作简单，内存也足够，性价比蛮高的，而且价格还实惠便宜，很划算，支持，超喜欢。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-27 13:49:02,256GB,蓝色钛金属,"颜色很大气
外形外观：大气上档次
屏幕音效：非常好
拍照效果：非常清晰
运行速度：很好用，一点都不卡
待机时间：充满用一天没问题，早上八点多用到晚上十点
其他特色：一般"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-03 21:52:56,512GB,黑色钛金属,轻巧 手感好 半个小时不到就把旧手机上的东西全部转移到新手机了 我运气好 昨晚上无意中看京东上有货 立即下手 转眼就卖光了 今天上午就拿到新手机了 太梦幻了
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-24 17:01:16,128GB,原色钛金属,"外形外观：外形特征就是硬朗帅气十足的感觉！
屏幕音效：屏幕分辨率很高，屏幕触摸感非常舒服！
拍照效果：拍照效果非常喜欢，还原度很高的照片都是！
运行速度：反应速度很快，打游戏无压力"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-22 09:36:35,128GB,黑色钛金属,手感是真不错啊 减少了重量  边框也做了曲度  手感大大的提升了  不错不错  舒服哟   拍照也进一步的提升  颜色沉稳大气 typec 升级 很好用
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-03 18:01:15,256GB,黑色钛金属,真的超级喜欢，质量非常好，与卖家描述的一致！东西很满意哦，美观时尚大气，客服超级有耐心，服务细致贴心，大品牌就是不一样趁着优惠，赶紧入手，是正品，包装也非常的好，没有破损，质量也是没得说，棒👍
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-25 16:26:18,128GB,原色钛金属,"外形外观：外观设计非常时尚大方优雅！
屏幕音效：屏幕分辨率很高，反应速度很快！
拍照效果：拍照效果很棒色彩鲜明对比安卓还原度很高！
运行速度：系统反应很快非常喜欢，一直用苹果"
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-09-26 20:02:01,256GB,原色钛金属,期待了好久的手机，终于到了。握持手感的简直是一级棒。运算速度更是棒棒棒太爽。拍照摄像简直就更是无敌的存在啦，可以拍好多好多美丽的照片啦，太爽了，太爽了，太爽了。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-18 14:39:25,512GB,原色钛金属,在官方网站没抢到，看见京东自营店有预订抢到了，快递很快过二天到了，原色太金属是我想要的款式，比较喜欢，使用几天后没啥问题，在京东自营店买放心的
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-24 17:18:43,256GB,白色钛金属,用了半天   总体续航还不错。玩了四个多小时，用了50的电，总体感觉白色的确实很好看，钛金属手感也非常好，充电速度也不慢，用的原装充电头半个小时充了45的电，关键使用起来很丝滑，音质也很棒。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-27 22:24:32,256GB,原色钛金属,拍照非常清楚，外观好看，手感很好
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 01:49:07,256GB,原色钛金属,有一点发热过高，其他的感觉还可以，继续观察
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-23 22:47:43,256GB,原色钛金属,产品微瑕疵，解决问题，但不是很理想，送货上门回收旧机，拆包装不帮忙检查，显着不够专业，作为京东铁粉，着实失望
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 21:03:34,512GB,白色钛金属,购物选择京东物流值得信赖，送货上门，方便大家，我一直选择京东。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 22:47:32,128GB,蓝色钛金属,好好好。  。。。。速度快
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 14:26:43,512GB,黑色钛金属,挺好用的，苹果还是一如既往
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-30 15:27:08,256GB,蓝色钛金属,差评差评，用了一会儿就发烫啊，这怎么搞。
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 00:44:48,256GB,原色钛金属,原封包装。发货速度块 这是复购 机子好用
Apple iPhone 15 Pro (A3104) 256GB 原色钛金属 支持移动联通电信5G 双卡双待手机,2023-10-29 09:25:56,256GB,白色钛金属,不错，非常不错，包装原封，是正品，物流也很给力。
